Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2940165200,MGCZ6,08/03/2026 09:47:09 -04:00,08/03/2026 10:02:35 -04:00,4084.8,4092,1.42,-72,1,Short,08/03/2026 00:00:00 -05:00,15:26.2,0.5
2940165211,MGCZ6,08/03/2026 09:47:10 -04:00,08/03/2026 10:02:35 -04:00,4084.5,4092,1.42,-75,1,Short,08/03/2026 00:00:00 -05:00,15:24.4,0.5
2940165219,MGCZ6,08/03/2026 09:47:33 -04:00,08/03/2026 10:02:35 -04:00,4084.2,4092,1.42,-78,1,Short,08/03/2026 00:00:00 -05:00,15:02.2,0.5
2940594598,MGCZ6,08/03/2026 10:04:12 -04:00,08/03/2026 10:35:06 -04:00,4084,4091.8,4.26,-234,3,Short,08/03/2026 00:00:00 -05:00,30:54.4,1.5
2940594602,MGCZ6,08/03/2026 10:05:04 -04:00,08/03/2026 10:35:06 -04:00,4084.2,4091.8,4.26,-228,3,Short,08/03/2026 00:00:00 -05:00,30:01.6,1.5
2940871073,MNQU6,08/03/2026 10:53:58 -04:00,08/03/2026 11:06:01 -04:00,28791.75,28771.5,0.72,-40.5,1,Long,08/03/2026 00:00:00 -05:00,12:02.6,0.5
2940808580,MNQU6,08/03/2026 10:53:58 -04:00,08/03/2026 10:55:57 -04:00,28791.75,28793.75,0.72,4,1,Long,08/03/2026 00:00:00 -05:00,01:58.6,0.5
2940808337,MNQU6,08/03/2026 10:53:58 -04:00,08/03/2026 10:55:55 -04:00,28791.75,28795.25,0.72,7,1,Long,08/03/2026 00:00:00 -05:00,01:56.8,0.5
2940871075,MNQU6,08/03/2026 10:56:13 -04:00,08/03/2026 11:06:01 -04:00,28794.5,28771.5,0.72,-46,1,Long,08/03/2026 00:00:00 -05:00,09:48.1,0.5
2940871077,MNQU6,08/03/2026 10:59:33 -04:00,08/03/2026 11:06:01 -04:00,28797.25,28771.5,0.72,-51.5,1,Long,08/03/2026 00:00:00 -05:00,06:28.2,0.5
2941614001,MESU6,08/03/2026 11:49:43 -04:00,08/03/2026 13:21:51 -04:00,7612,7619.75,0.72,38.75,1,Long,08/03/2026 00:00:00 -05:00,32:08.1,0.5
2941614002,MESU6,08/03/2026 11:49:52 -04:00,08/03/2026 13:21:51 -04:00,7612.25,7619.75,0.72,37.5,1,Long,08/03/2026 00:00:00 -05:00,31:59.3,0.5
2941614004,MESU6,08/03/2026 11:49:55 -04:00,08/03/2026 13:21:51 -04:00,7612.25,7619.75,0.72,37.5,1,Long,08/03/2026 00:00:00 -05:00,31:56.7,0.5
2941614005,MESU6,08/03/2026 11:50:20 -04:00,08/03/2026 13:21:51 -04:00,7612.75,7619.75,0.72,35,1,Long,08/03/2026 00:00:00 -05:00,31:31.1,0.5
2941614006,MESU6,08/03/2026 11:50:21 -04:00,08/03/2026 13:21:51 -04:00,7612.75,7619.75,0.72,35,1,Long,08/03/2026 00:00:00 -05:00,31:30.6,0.5
2941614007,MESU6,08/03/2026 11:50:32 -04:00,08/03/2026 13:21:51 -04:00,7613,7619.75,3.6,168.75,5,Long,08/03/2026 00:00:00 -05:00,31:19.8,2.5
2941614008,MESU6,08/03/2026 13:13:00 -04:00,08/03/2026 13:21:51 -04:00,7617,7619.75,3.6,68.75,5,Long,08/03/2026 00:00:00 -05:00,08:51.5,2.5
2941614650,MESU6,08/03/2026 13:21:55 -04:00,08/03/2026 13:22:00 -04:00,7619.75,7619.5,3.6,-6.25,5,Long,08/03/2026 00:00:00 -05:00,00:05.1,2.5
2941647521,MESU6,08/03/2026 13:22:04 -04:00,08/03/2026 13:28:19 -04:00,7619.75,7622.25,3.6,62.5,5,Long,08/03/2026 00:00:00 -05:00,06:14.9,2.5
2941647522,MESU6,08/03/2026 13:22:05 -04:00,08/03/2026 13:28:19 -04:00,7619.5,7622.25,3.6,68.75,5,Long,08/03/2026 00:00:00 -05:00,06:14.0,2.5
2941647523,MESU6,08/03/2026 13:23:01 -04:00,08/03/2026 13:28:19 -04:00,7621.5,7622.25,3.6,18.75,5,Long,08/03/2026 00:00:00 -05:00,05:18.3,2.5
2941647524,MESU6,08/03/2026 13:24:06 -04:00,08/03/2026 13:28:19 -04:00,7621.75,7622.25,3.6,12.5,5,Long,08/03/2026 00:00:00 -05:00,04:13.4,2.5
2941647525,MESU6,08/03/2026 13:24:13 -04:00,08/03/2026 13:28:19 -04:00,7621.5,7622.25,3.6,18.75,5,Long,08/03/2026 00:00:00 -05:00,04:06.4,2.5
2941647526,MESU6,08/03/2026 13:24:27 -04:00,08/03/2026 13:28:19 -04:00,7621.75,7622.25,3.6,12.5,5,Long,08/03/2026 00:00:00 -05:00,03:52.5,2.5
2941689715,MESU6,08/03/2026 13:28:25 -04:00,08/03/2026 13:39:37 -04:00,7623,7623.5,3.6,12.5,5,Long,08/03/2026 00:00:00 -05:00,11:12.3,2.5
2941689716,MESU6,08/03/2026 13:28:32 -04:00,08/03/2026 13:39:37 -04:00,7623.25,7623.5,3.6,6.25,5,Long,08/03/2026 00:00:00 -05:00,11:05.1,2.5
2941689717,MESU6,08/03/2026 13:28:34 -04:00,08/03/2026 13:39:37 -04:00,7622.75,7623.5,3.6,18.75,5,Long,08/03/2026 00:00:00 -05:00,11:03.4,2.5
2941689718,MESU6,08/03/2026 13:28:46 -04:00,08/03/2026 13:39:37 -04:00,7623,7623.5,3.6,12.5,5,Long,08/03/2026 00:00:00 -05:00,10:51.2,2.5
2941689719,MESU6,08/03/2026 13:28:47 -04:00,08/03/2026 13:39:37 -04:00,7623,7623.5,3.6,12.5,5,Long,08/03/2026 00:00:00 -05:00,10:49.4,2.5
2941706854,MESU6,08/03/2026 13:43:46 -04:00,08/03/2026 13:45:18 -04:00,7624.5,7626,3.6,-37.5,5,Short,08/03/2026 00:00:00 -05:00,01:32.1,2.5
2941765797,MESU6,08/03/2026 13:45:18 -04:00,08/03/2026 13:59:59 -04:00,7626,7628,3.6,50,5,Long,08/03/2026 00:00:00 -05:00,14:40.9,2.5
2941765799,MESU6,08/03/2026 13:45:40 -04:00,08/03/2026 13:59:59 -04:00,7626,7628,3.6,50,5,Long,08/03/2026 00:00:00 -05:00,14:19.3,2.5
2941765800,MESU6,08/03/2026 13:46:05 -04:00,08/03/2026 13:59:59 -04:00,7626.5,7628,3.6,37.5,5,Long,08/03/2026 00:00:00 -05:00,13:53.8,2.5
2941765801,MESU6,08/03/2026 13:46:10 -04:00,08/03/2026 13:59:59 -04:00,7626.5,7628,3.6,37.5,5,Long,08/03/2026 00:00:00 -05:00,13:49.0,2.5
2941765802,MESU6,08/03/2026 13:54:41 -04:00,08/03/2026 13:59:59 -04:00,7628.25,7628,3.6,-6.25,5,Long,08/03/2026 00:00:00 -05:00,05:17.7,2.5
2941765803,MESU6,08/03/2026 13:54:43 -04:00,08/03/2026 13:59:59 -04:00,7628.25,7628,3.6,-6.25,5,Long,08/03/2026 00:00:00 -05:00,05:16.3,2.5
2941779317,MESU6,08/03/2026 14:00:29 -04:00,08/03/2026 14:02:12 -04:00,7629.75,7629,3.6,-18.75,5,Long,08/03/2026 00:00:00 -05:00,01:42.5,2.5
2941779318,MESU6,08/03/2026 14:00:46 -04:00,08/03/2026 14:02:12 -04:00,7629.5,7629,3.6,-12.5,5,Long,08/03/2026 00:00:00 -05:00,01:25.7,2.5
2941782499,MESU6,08/03/2026 14:02:12 -04:00,08/03/2026 14:03:07 -04:00,7629,7629.75,7.2,-37.5,10,Short,08/03/2026 00:00:00 -05:00,00:54.9,5
2941789295,MESU6,08/03/2026 14:03:07 -04:00,08/03/2026 14:04:08 -04:00,7629.75,7632,7.2,112.5,10,Long,08/03/2026 00:00:00 -05:00,01:01.5,5
2941789302,MESU6,08/03/2026 14:03:27 -04:00,08/03/2026 14:04:08 -04:00,7630,7632,3.6,50,5,Long,08/03/2026 00:00:00 -05:00,00:41.4,2.5
2941789305,MESU6,08/03/2026 14:03:30 -04:00,08/03/2026 14:04:08 -04:00,7630.25,7632,3.6,43.75,5,Long,08/03/2026 00:00:00 -05:00,00:38.2,2.5
2941789306,MESU6,08/03/2026 14:03:31 -04:00,08/03/2026 14:04:08 -04:00,7630.25,7632,3.6,43.75,5,Long,08/03/2026 00:00:00 -05:00,00:37.4,2.5
2941830362,MESU6,08/03/2026 14:04:16 -04:00,08/03/2026 14:11:29 -04:00,7632.75,7632.5,3.6,-6.25,5,Long,08/03/2026 00:00:00 -05:00,07:13.1,2.5
2941830363,MESU6,08/03/2026 14:04:29 -04:00,08/03/2026 14:11:29 -04:00,7632.75,7632.5,3.6,-6.25,5,Long,08/03/2026 00:00:00 -05:00,06:59.4,2.5
2941830364,MESU6,08/03/2026 14:05:09 -04:00,08/03/2026 14:11:29 -04:00,7634,7632.5,3.6,-37.5,5,Long,08/03/2026 00:00:00 -05:00,06:20.1,2.5
2941830365,MESU6,08/03/2026 14:05:15 -04:00,08/03/2026 14:11:29 -04:00,7634.5,7632.5,3.6,-50,5,Long,08/03/2026 00:00:00 -05:00,06:13.8,2.5
2941853040,MESU6,08/03/2026 14:12:10 -04:00,08/03/2026 14:16:07 -04:00,7631.25,7634.5,3.6,-81.25,5,Short,08/03/2026 00:00:00 -05:00,03:57.0,2.5
2941866570,MESU6,08/03/2026 14:16:07 -04:00,08/03/2026 14:18:48 -04:00,7634.5,7632.25,3.6,-56.25,5,Long,08/03/2026 00:00:00 -05:00,02:41.0,2.5
2941866571,MESU6,08/03/2026 14:17:22 -04:00,08/03/2026 14:18:48 -04:00,7634.75,7632.25,3.6,-62.5,5,Long,08/03/2026 00:00:00 -05:00,01:26.6,2.5
2942037397,MESU6,08/03/2026 14:20:34 -04:00,08/03/2026 14:53:25 -04:00,7630,7633.75,3.6,-93.75,5,Short,08/03/2026 00:00:00 -05:00,32:51.8,2.5
2942037400,MESU6,08/03/2026 14:25:04 -04:00,08/03/2026 14:53:25 -04:00,7631,7633.75,3.6,-68.75,5,Short,08/03/2026 00:00:00 -05:00,28:21.4,2.5
2942037404,MESU6,08/03/2026 14:26:43 -04:00,08/03/2026 14:53:25 -04:00,7630,7633.75,3.6,-93.75,5,Short,08/03/2026 00:00:00 -05:00,26:42.7,2.5
2942037407,MESU6,08/03/2026 14:28:40 -04:00,08/03/2026 14:53:25 -04:00,7626.5,7633.75,3.6,-181.25,5,Short,08/03/2026 00:00:00 -05:00,24:45.8,2.5
2942037409,MESU6,08/03/2026 14:37:05 -04:00,08/03/2026 14:53:25 -04:00,7626.75,7633.75,3.6,-175,5,Short,08/03/2026 00:00:00 -05:00,16:20.2,2.5
2942037410,MESU6,08/03/2026 14:37:06 -04:00,08/03/2026 14:53:25 -04:00,7626.5,7633.75,3.6,-181.25,5,Short,08/03/2026 00:00:00 -05:00,16:19.2,2.5
2942072038,MESU6,08/03/2026 14:55:14 -04:00,08/03/2026 15:01:11 -04:00,7632.25,7635.75,3.6,-87.5,5,Short,08/03/2026 00:00:00 -05:00,05:56.8,2.5
2942072039,MESU6,08/03/2026 14:55:16 -04:00,08/03/2026 15:01:11 -04:00,7632.25,7635.75,3.6,-87.5,5,Short,08/03/2026 00:00:00 -05:00,05:54.9,2.5
2942072040,MESU6,08/03/2026 14:57:24 -04:00,08/03/2026 15:01:11 -04:00,7632.5,7635.75,7.2,-162.5,10,Short,08/03/2026 00:00:00 -05:00,03:46.4,5
